scale,absort,test,test_name,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description
Communication,,abas3_parent,ABAS-3 Parent,Adaptive Functioning,Conceptual,Communication,,,,rating_scale,scaled_score,"Communication skills (including speech, listening, conversation, and nonverbal communication)"
Community Use,,abas3_parent,ABAS-3 Parent,Adaptive Functioning,Practical,Community Use,,,,rating_scale,scaled_score,A child's ability to function in the community and to express knowledge of and interest in activities outside the home
Conceptual Skills Index,,abas3_parent,ABAS-3 Parent,Adaptive Functioning,Conceptual,Conceptual Skills Index,,,,rating_scale,standard_score,"Conceptual skills's involve the ability to use language, reason, and solve problems"
Functional Pre-Academics,,abas3_parent,ABAS-3 Parent,Adaptive Functioning,Conceptual,Functional Pre-Academics,,,,rating_scale,scaled_score,"Functional pre-academics (performing basic pre-academic skills that form the foundations of higher-level reading, writing, and mathematics)"
General Adaptive Composite (GAC),,abas3_parent,ABAS-3 Parent,Adaptive Functioning,General Adaptive,General Adaptive Index,,,,rating_scale,standard_score,The patient's current overall level of adaptive behavior
Health and Safety,,abas3_parent,ABAS-3 Parent,Adaptive Functioning,Practical,Health and Safety,,,,rating_scale,scaled_score,Their ability to address personal and health needs
Home Living,,abas3_parent,ABAS-3 Parent,Adaptive Functioning,Practical,Home Living,,,,rating_scale,scaled_score,"Their level of functioning inside the home, including helping adults with household chores and taking care of personal possessions"
Leisure,,abas3_parent,ABAS-3 Parent,Adaptive Functioning,Social,Leisure,,,,rating_scale,scaled_score,"Leisure skills: the capacity to use free time during the school day productively or interactively, and the capacity to engage in play and recreational activities for fun"
Motor,,abas3_parent,ABAS-3 Parent,Adaptive Functioning,Sensorimotor,Motor,,,,rating_scale,scaled_score,An assessment of their age-appropriate motor skills
Practical Skills Index,,abas3_parent,ABAS-3 Parent,Adaptive Functioning,Practical,Practical Skills Index,,,,rating_scale,standard_score,"The patient's score on the Practical skills composite, which involves the ability to take care of oneself, manage money, and get around in the community"
Self-Care,,abas3_parent,ABAS-3 Parent,Adaptive Functioning,Practical,Self-Care,,,,rating_scale,scaled_score,"Their ability to perform self-care activities such as eating, dressing, and taking care of personal hygiene"
Self-Direction,,abas3_parent,ABAS-3 Parent,Adaptive Functioning,Conceptual,Self-Direction,,,,rating_scale,scaled_score,"Self-direction skills (e.g., the ability to make independent choices, exhibit self-control, and take responsibility when appropriate)"
Social,,abas3_parent,ABAS-3 Parent,Adaptive Functioning,Social,Adaptive/Social Behavior,,,,rating_scale,scaled_score,"Social was a strength; may have difficulty interacting socially, initiating and maintaining friendships, and expressing and recognizing emotions"
Social Index,,abas3_parent,ABAS-3 Parent,Adaptive Functioning,Social,Adaptive/Social Behavior,,,,rating_scale,standard_score,The ability to interact with others (both peers and adults) in a positive and productive way
Communication,,abas3_self,ABAS-3 Self,Adaptive Functioning,Conceptual,Communication,,,,rating_scale,scaled_score,"Communication skills (including speech, listening, conversation, and nonverbal communication)"
Community Use,,abas3_self,ABAS-3 Self,Adaptive Functioning,Practical,Community Use,,,,rating_scale,scaled_score,A child's ability to function in the community and to express knowledge of and interest in activities outside the home
Conceptual Skills Index,,abas3_self,ABAS-3 Self,Adaptive Functioning,Conceptual,Conceptual Skills Index,,,,rating_scale,standard_score,"Conceptual skills's involve the ability to use language, reason, and solve problems"
Functional Pre-Academics,,abas3_self,ABAS-3 Self,Adaptive Functioning,Conceptual,Functional Pre-Academics,,,,rating_scale,scaled_score,"Functional pre-academics (performing basic pre-academic skills that form the foundations of higher-level reading, writing, and mathematics)"
General Adaptive Composite (GAC),,abas3_self,ABAS-3 Self,Adaptive Functioning,General Adaptive,General Adaptive Index,,,,rating_scale,standard_score,The patient's current overall level of adaptive behavior
Health and Safety,,abas3_self,ABAS-3 Self,Adaptive Functioning,Practical,Health and Safety,,,,rating_scale,scaled_score,Their ability to address personal and health needs
Home Living,,abas3_self,ABAS-3 Self,Adaptive Functioning,Practical,Home Living,,,,rating_scale,scaled_score,"Their level of functioning inside the home, including helping adults with household chores and taking care of personal possessions"
Leisure,,abas3_self,ABAS-3 Self,Adaptive Functioning,Social,Leisure,,,,rating_scale,scaled_score,"Leisure skills: the capacity to use free time during the school day productively or interactively, and the capacity to engage in play and recreational activities for fun"
Motor,,abas3_self,ABAS-3 Self,Adaptive Functioning,Sensorimotor,Motor,,,,rating_scale,scaled_score,An assessment of their age-appropriate motor skills
Practical Skills Index,,abas3_self,ABAS-3 Self,Adaptive Functioning,Practical,Practical Skills Index,,,,rating_scale,standard_score,"The patient's score on the Practical skills composite, which involves the ability to take care of oneself, manage money, and get around in the community"
Self-Care,,abas3_self,ABAS-3 Self,Adaptive Functioning,Practical,Self-Care,,,,rating_scale,scaled_score,"Their ability to perform self-care activities such as eating, dressing, and taking care of personal hygiene"
Self-Direction,,abas3_self,ABAS-3 Self,Adaptive Functioning,Conceptual,Self-Direction,,,,rating_scale,scaled_score,"Self-direction skills (e.g., the ability to make independent choices, exhibit self-control, and take responsibility when appropriate)"
Social,,abas3_self,ABAS-3 Self,Adaptive Functioning,Social,Adaptive/Social Behavior,,,,rating_scale,scaled_score,"Social was a strength; may have difficulty interacting socially, initiating and maintaining friendships, and expressing and recognizing emotions"
Social Index,,abas3_self,ABAS-3 Self,Adaptive Functioning,Social,Adaptive/Social Behavior,,,,rating_scale,standard_score,The ability to interact with others (both peers and adults) in a positive and productive way
BAI Total Score,,bai,BAI,Behavioral/Emotional/Social,Anxiety,Mood/Anxiety,,,,rating_scale,t_score,"A brief, self-report assessment for measuring anxiety severity and level"
Activities of Daily Living,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Able to adequately perform simple daily tasks in a safe and efficient manner
Adaptability,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Adaptation to most situations and able to quickly recover from situations that are difficult
Adaptive Skills,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Overall adaptive functioning composite score
Aggression,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Externalizing,Aggressive Behavior,,,,rating_scale,t_score,Ratings of aggressive behavior and to act aggressively
Anxiety,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Internalizing,Mood/Anxiety,,,,rating_scale,t_score,"Tendency to be nervous, fearful, or worried about real or imagined problems"
Attention Problems,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Behavioral Symptoms,ADHD/Executive,,,,rating_scale,t_score,Maintain necessary levels of attention
Atypicality,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Behavioral Symptoms,Adaptive/Social Behavior,,,,rating_scale,t_score,"Demonstration of clear, logical thought patterns and a general awareness of surroundings"
Behavioral Symptoms Index,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Behavioral Symptoms,Behavioral Problems,,,,rating_scale,t_score,Behavioral symptoms index composite scale
Conduct Problems,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Externalizing,Antisocial,,,,rating_scale,t_score,Rule-breaking behavior
Depression,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Internalizing,Mood/Depression,,,,rating_scale,t_score,"Excessive feelings of unhappiness, sadness, or stress"
Externalizing Problems,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Externalizing,Disruptive Behavior,,,,rating_scale,t_score,Externalizing problems composite scale
Functional Communication,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Exhibits appropriate expressive and receptive communication skills and displays a strong ability to seek out and find new information independently
Hyperactivity,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Externalizing,ADHD/Executive,,,,rating_scale,t_score,"Tendency to be overly active, rush through work or activities, and act without thinking"
Internalizing Problems,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Internalizing,Mood/Anxiety,,,,rating_scale,t_score,Internalizing problems composite scale
Leadership,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Adaptive Skills,Social,,,,rating_scale,t_score,"Creative, works well under pressure, and/or can effectively unite others to work together"
Social Skills,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Socially adept and at ease
Somatization,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Internalizing,Mood/Anxiety,,,,rating_scale,t_score,Health-related problems
Withdrawal,,basc3_prs_adolescent,BASC-3 PRS Adolescent,Behavioral/Emotional/Social,Behavioral Symptoms,Adaptive/Social Behavior,,,,rating_scale,t_score,Avoid social situations and appears to be capable of developing and maintaining friendships with others
Activities of Daily Living,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Able to adequately perform simple daily tasks in a safe and efficient manner
Adaptability,,basc3_prs_child,BASC-3 PRS Child,Behavioral/Emotional/Social,Adaptive Skills,Adaptive/Social Behavior,,,,rating_scale,t_score,Adaptation to most situations and able to quickly recover from situations that are difficult
