"scale","completion_time_seconds"
"RBANS Update Form A List Learning",256
"RBANS Update Form A Story Memory",138
"RBANS Update Form A Figure Copy",285
"RBANS Update Form A Line Orientation",315
"RBANS Update Form A Picture Naming",147
"RBANS Update Form A Semantic Fluency",86
"RBANS Update Form A Digit Span",16
"RBANS Update Form A Coding",215
"RBANS Update Form A List Recall",53
"RBANS Update Form A List Recognition",115
"RBANS Update Form A Story Recall",47
"RBANS Update Form A Figure Recall",115
